"key","en","de","fr","ar","es","it"
"+{{value0}}","+{{value0}}","+{{value0}}","+{{value0}}","+{{value0}}","+{{value0}}","+{{value0}}"
"API environment: {{environment}} ({{apiUrl}})","API environment: {{environment}} ({{apiUrl}})","API-Umgebung: {{environment}} ({{apiUrl}})","Environnement API : {{environment}} ({{apiUrl}})","بيئة API: {{environment}} ({{apiUrl}})","Entorno API: {{environment}} ({{apiUrl}})","Ambiente API: {{environment}} ({{apiUrl}})"
"Accepted Offer","Accepted Offer","Angebot angenommen","Offre acceptée","عرض مقبول","Oferta aceptada","Offerta accettata"
"Accepted at:","Accepted at:","Akzeptiert bei:","Accepté à :","مقبول في:","Aceptado en:","Accettata alle:"
"Account","Account","Konto","Compte","حساب","Cuenta","Account"
"Active","Active","Aktiv","Actif","نشط","Activo","Attivi"
"Active Order","Active Order","Aktiver Auftrag","Commande active","طلب نشط","Pedido activo","Ordine attivo"
"Active Request","Active Request","Aktive Anfrage","Demande active","الطلب النشط","Solicitud activa","Richiesta attiva"
"Active Requests","Active Requests","Aktive Anfragen","Demandes actives","الطلبات النشطة","Solicitudes activas","Richieste attive"
"Add Money","Add Money","Geld hinzufügen","Ajouter de l'argent","أضف رصيدًا","Agregar dinero","Aggiungi fondi"
"Add Photos","Add Photos","Fotos hinzufügen","Ajouter des photos","أضف صورًا","Agregar fotos","Aggiungi foto"
"Add a note for drivers, optional","Add a note for drivers, optional","Fügen Sie optional eine Notiz für Fahrer hinzu.","Ajouter une note aux conducteurs (facultatif)","أضف ملاحظة للسائقين، اختياري","Añadir una nota para los conductores (opcional)","Aggiungi una nota per gli autisti, facoltativa"
"Add any notes or extra details about the vehicle condition","Add any notes or extra details about the vehicle condition","Fügen Sie alle Anmerkungen oder zusätzlichen Details zum Fahrzeugzustand hinzu.","Ajoutez toute note ou tout détail supplémentaire concernant l'état du véhicule.","أضف أي ملاحظات أو تفاصيل إضافية حول حالة المركبة","Agregue cualquier nota o detalle adicional sobre el estado del vehículo.","Aggiungi eventuali note o dettagli aggiuntivi sulle condizioni del veicolo"
"Add clear furniture photos so drivers can suggest the right helpers and equipment.","Add clear furniture photos so drivers can suggest the right helpers and equipment.","Fügen Sie aussagekräftige Fotos der Möbel hinzu, damit die Fahrer die passenden Helfer und Ausrüstungsgegenstände vorschlagen können.","Ajoutez des photos claires du mobilier afin que les chauffeurs puissent suggérer les assistants et le matériel adéquats.","أضف صورًا واضحة للأثاث حتى يتمكن السائقون من اقتراح المساعدين والمعدات المناسبة.","Añade fotos claras de los muebles para que los conductores puedan sugerir a los ayudantes y el equipo adecuados.","Aggiungi foto chiare dei mobili affinché gli autisti possano suggerire il numero corretto di aiutanti e l'attrezzatura necessaria."
"Add clear photos to help drivers give accurate quotes.","Add clear photos to help drivers give accurate quotes.","Fügen Sie aussagekräftige Fotos hinzu, damit die Fahrer genaue Angebote abgeben können.","Ajoutez des photos nettes pour aider les chauffeurs à fournir des devis précis.","أضف صورًا واضحة لمساعدة السائقين على تقديم عروض أسعار دقيقة.","Añade fotos claras para ayudar a los conductores a dar presupuestos precisos.","Aggiungi foto chiare per aiutare gli autisti a fornire preventivi accurati."
"Add feedback about the driver, optional","Add feedback about the driver, optional","Feedback zum Fahrer hinzufügen (optional)","Ajouter des commentaires sur le conducteur (facultatif)","أضف ملاحظاتك حول السائق، اختياري","Agregar comentarios sobre el conductor (opcional)","Aggiungi un commento sull'autista, facoltativo"
"Add helpers if the furniture requires extra loading support.","Add helpers if the furniture requires extra loading support.","Zusätzliche Helfer sind erforderlich, wenn die Möbelstücke eine zusätzliche Lastunterstützung benötigen.","Ajoutez des personnes supplémentaires si le meuble nécessite un support de charge supplémentaire.","أضف مساعدين إذا كانت قطع الأثاث تتطلب دعماً إضافياً للتحميل.","Si los muebles requieren soporte adicional para cargarlos, añada ayudantes.","Aggiungi aiutanti se i mobili richiedono ulteriore assistenza durante il carico."
"Add money using a card entered securely with Stripe.","Add money using a card entered securely with Stripe.","Laden Sie Guthaben mit einer sicher eingegebenen Karte (Stripe) auf.","Ajoutez de l'argent à l'aide d'une carte saisie de manière sécurisée avec le code Stripe.","أضف الأموال باستخدام بطاقة تم إدخالها بشكل آمن باستخدام الرمز Stripe.","Añadir dinero mediante una tarjeta introducida de forma segura con el código Stripe.","Aggiungi fondi utilizzando una carta inserita in modo sicuro tramite Stripe."
